date,value
2026-03-13,1.6602768903088392
2026-03-16,1.4356193825713168
2026-03-17,1.128236744759556
2026-03-18,2.028720626631854
2026-03-19,1.9375559311922044
2026-03-23,1.578770779319811
2026-03-24,0.9955496041904612
2026-03-25,1.8337472755841655
2026-03-26,1.7442711648631446
2026-03-27,1.5235489544655072
2026-03-30,1.257564122254646
2026-03-31,1.368212695127986
2026-04-01,1.3566155248367007
2026-04-02,1.1817897697676842
2026-04-03,1.261516577306051
2026-04-06,1.5850477796514897
2026-04-07,1.5263131184978431
2026-04-08,1.2914864895783285
2026-04-09,0.9627172990474993
2026-04-10,1.5255064681474249
2026-04-13,3.03082816490332
2026-04-14,1.9669725956566702
2026-04-15,2.6327772325809615
2026-04-16,2.180744297719088
2026-04-17,1.9379275255808694
2026-04-20,2.219047619047619
2026-04-21,1.7764060356652949
2026-04-22,2.308255388369256
2026-04-23,1.8558826176973624
2026-04-24,1.9048433491409469
2026-04-27,2.0010199621156928
2026-04-28,1.441334447362139
2026-04-30,1.919481368489867
2026-05-01,1.7844173875894478
2026-05-07,1.1590114954170254
2026-05-08,2.0143724049824336
2026-05-11,1.575406604238541
2026-05-12,4.40647427088105
2026-05-13,2.225135523841133
2026-05-14,1.417379188042308
2026-05-15,1.9146108546872516
2026-05-18,2.055301122051752
2026-05-19,2.0771994899733395
2026-05-20,1.709733868027707
2026-05-21,1.5649338069099128
2026-05-22,1.6863437821171634
2026-05-25,1.4532446089958473
2026-05-26,1.7324917065978622
2026-05-27,1.4035422175757948
2026-05-28,1.8666981577704296
2026-05-29,1.351051548461577
2026-06-01,1.7241295546558704
2026-06-02,2.509609926202254
2026-06-03,1.1101058638035888
2026-06-04,1.4258479672840991
2026-06-05,1.2244659546061416
2026-06-08,1.9937191020342004
2026-06-09,1.4147563759055275
2026-06-10,1.7486248103186646
2026-06-11,1.5357193580457322
2026-06-12,1.2813911038524357
2026-06-15,1.858470955075644
2026-06-16,1.8453538875634676
2026-06-17,1.505724437425977
2026-06-18,1.5854892444371325
2026-06-19,1.2887793176972282
2026-06-22,1.8833590013779689
2026-06-23,1.944977073780742
2026-06-24,2.893879239040529
2026-06-25,1.313419361690829
2026-06-26,2.0488040745277547
